dataset,Model,Cleaned DN,Test_auc,Test_acc,Test_ap,,dataset,Model,Cleaned DN,Test_auc,Test_acc,Test_ap
PTC,GCN,PTC__GCN,0.375014996651868,0.3864677516576251,0.443008402368405,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetPTClr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,PTC__GCN,0.472933203145824,0.4615577889447236,0.5297494195649162
PTC,GIN,PTC__GIN,0.4047579989107216,0.43722121760096444,0.43065181478437864,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetPTClr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,PTC__GIN,0.4306845506146029,0.4439698492462312,0.45287735329358564
PTC,SGC,PTC__SGC,0.42489060891674946,0.4655816757082579,0.47831982321055316,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetPTClr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,PTC__SGC,0.49335707010765717,0.4823283082077051,0.5385401435984369
PTC_1,GAT,PTC__GAT,0.39446771605079567,0.42477396021699826,0.4424834234748829,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetPTClr00003beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,PTC__GAT,0.4828750659255954,0.46847133757961795,0.4969422239390924
PTC_1,GCN,PTC__GCN,0.375014996651868,0.3864677516576251,0.443008402368405,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetPTClr00003beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,PTC__GCN,0.5509361434540955,0.47914012738853495,0.576021481517154
PTC_1,GIN,PTC__GIN,0.4047579989107216,0.43722121760096444,0.43065181478437864,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetPTClr00003beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,PTC__GIN,0.5191432715323137,0.5007961783439491,0.534191914687915
PTC_1,SGC,PTC__SGC,0.42489060891674946,0.4655816757082579,0.47831982321055316,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetPTClr00003beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,PTC__SGC,0.526120228001136,0.4947452229299364,0.5384198500900238
triangular_grid,GAT,triangular__GAT,0.6862129686510027,0.5638072504848576,0.6518693515664412,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasettriangulargridlr00003beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,triangulargrid__GAT,0.7903678871905693,0.6828397212543554,0.7562962900946328
triangular_grid,GCN,triangular__GCN,0.675853297277117,0.556094286140534,0.6420809105996581,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasettriangulargridlr00003beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,triangulargrid__GCN,0.772482783267977,0.6486062717770036,0.7439100841803115
triangular_grid,GIN,triangular__GIN,0.7130830150378336,0.573004624794868,0.6694369120057678,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasettriangulargridlr00003beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,triangulargrid__GIN,0.7207090956549187,0.5917247386759582,0.6916142955204202
triangular_grid,SGC,triangular__SGC,0.601452085388697,0.5120393853498433,0.5858931305763138,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasettriangulargridlr00003beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,triangulargrid__SGC,0.7379101967973388,0.5724738675958188,0.704486557011219
triangular_grid_1,GAT,triangular__GAT,0.6862129686510027,0.5638072504848576,0.6518693515664412,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasettriangulargridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,triangulargrid__GAT,0.7503341071175538,0.6448751076658052,0.7364820727224319
triangular_grid_1,GCN,triangular__GCN,0.675853297277117,0.556094286140534,0.6420809105996581,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasettriangulargridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,triangulargrid__GCN,0.7286544982977488,0.6061584840654608,0.7153465856126484
triangular_grid_1,GIN,triangular__GIN,0.7130830150378336,0.573004624794868,0.6694369120057678,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasettriangulargridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,triangulargrid__GIN,0.7288331437821653,0.601894918173988,0.7016641126741855
triangular_grid_1,SGC,triangular__SGC,0.601452085388697,0.5120393853498433,0.5858931305763138,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasettriangulargridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,triangulargrid__SGC,0.7022576990788036,0.538975021533161,0.6864718438245745
DD,GAT,DD__GAT,0.7960338569411658,0.630505845456774,0.7593373425981056,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability/DD_HiddenLAyers_32_leaky\reachactleakydatasetDDlr00003beta20e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,DD__GAT,0.813641024503586,0.6914197141656158,0.8052748746136565
DD,GCN,DD__GCN,0.7615253592630078,0.6339509877680752,0.7386355721493223,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability/DD_HiddenLAyers_32_leaky\reachactleakydatasetDDlr00003beta20e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,DD__GCN,0.8002571568806219,0.6629150903741067,0.7923454441350473
DD,GIN,DD__GIN,0.7455148315683663,0.5533263734498762,0.7268252117412024,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability/DD_HiddenLAyers_32_leaky\reachactleakydatasetDDlr00003beta20e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,DD__GIN,0.8128161571445078,0.6501182219419924,0.7885856072748917
DD,SGC,DD__SGC,0.759679133405963,0.5768738852210961,0.7375075679751708,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability/DD_HiddenLAyers_32_leaky\reachactleakydatasetDDlr00003beta20e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.8041651396815628,0.5991698192517865,0.7933596447312975
