dataset Name (DN),GNN,Cleaned DN,Test_auc,Test_acc,Test_ap,conf_mtrx,train_auc,train_acc,train_ap
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.7434207183864248,0.5833333333333334,0.7528892449429436,"[[122 364]
 [ 41 445]]",0.823888286117928,0.6092603049124788,0.8182748162226283
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6354849362393944,0.5895061728395061,0.6306021343307564,"[[214 272]
 [127 359]]",0.7020310600454464,0.6470920383963862,0.6994723476795652
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6110010330403564,0.6039094650205762,0.6007807076099878,"[[306 180]
 [205 281]]",0.6179735247689976,0.6078486730660644,0.6080046089719873
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.7161213568392353,0.5401234567901234,0.7326867303237401,"[[ 75 411]
 [ 36 450]]",0.8308225788401566,0.577922077922078,0.829938045262262
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.7037904960287218,0.5452674897119342,0.7179856890967267,"[[ 67 419]
 [ 23 463]]",0.7648436555956257,0.5567476002258611,0.7848026612860297
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.5341802520522604,0.510752688172043,0.5631579648596803,"[[ 35 151]
 [ 31 155]]",0.7430399601489475,0.5703012912482066,0.7558844302490332
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.4935686206497861,0.4946236559139785,0.4832534781430983,"[[ 19 167]
 [ 21 165]]",0.7575878586028666,0.5530846484935438,0.7669560898820249
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.505520869464678,0.49193548387096775,0.5515620810586154,"[[ 10 176]
 [ 13 173]]",0.7717312771068465,0.533715925394548,0.7683604739252035
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.46462018730489074,0.4596774193548387,0.5083032047722309,"[[ 24 162]
 [ 39 147]]",0.7641315825766917,0.5566714490674318,0.7809377661686512
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.4940311018614869,0.5053763440860215,0.5054948230493564,"[[ 16 170]
 [ 14 172]]",0.7389756056392534,0.5437589670014347,0.7473516349442768
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.5366805411030177,0.5080645161290323,0.5763529814848134,"[[ 69 117]
 [ 66 120]]",0.7141510346658871,0.5932568149210904,0.7263061486955212
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.5150884495317377,0.5,0.5327817406995676,"[[  7 179]
 [  7 179]]",0.7856318017986493,0.5078909612625538,0.7804438466445591
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.46722164412070755,0.4596774193548387,0.5154635534975818,"[[ 16 170]
 [ 31 155]]",0.7633226226768134,0.563845050215208,0.7705788395353681
,,,,,,,,,
